#,微博热点,百度文库,百度知道,天涯论坛,爱奇艺,优酷,腾讯视频
一点通,269000,0,7022,80140,833,101471,95000
风采录,0,0,0,0,0,0,0
大师谈,4052,28014,79,13370,833,2766,1336
分类4,0,0,0,0,0,0,0
分类5,0,0,0,0,0,0,0
