#,微博热点,百度文库,百度知道,天涯论坛,爱奇艺,优酷,腾讯视频
一点通,628000,27715,8549,113853,906,117827,207000
风采录,0,0,0,0,0,0,0
大师谈,4052,379,347,37756,906,3470,2060
分类4,0,0,0,0,0,0,0
分类5,0,0,0,0,0,0,0
